Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,03/07/2017 09:00:31.002,113757377,545,0,0,0,0.0,4.790898088,BENIGN
192.168.10.25-192.168.10.255-138-138-17,192.168.10.25,138,192.168.10.255,138,17,03/07/2017 09:00:41.031,102133850,48,0,10368,0,101.5138468,0.469971513,BENIGN
192.168.10.50-192.168.10.255-138-138-17,192.168.10.50,138,192.168.10.255,138,17,03/07/2017 09:00:41.057,23719992,46,0,10373,0,437.3104342,1.939292391,BENIGN
192.168.10.25-192.168.10.255-137-137-17,192.168.10.25,137,192.168.10.255,137,17,03/07/2017 09:00:41.092,34758082,460,0,31280,0,899.9345821,13.23433209,BENIGN
192.168.10.25-224.0.0.251-5353-5353-17,192.168.10.25,5353,224.0.0.251,5353,17,03/07/2017 09:00:42.003,91997219,388,0,37151,0,403.8274244,4.217518793,BENIGN
192.168.10.25-17.253.14.125-123-123-17,192.168.10.25,123,17.253.14.125,123,17,03/07/2017 09:00:42.004,66966070,6,6,288,288,8.601370814,0.179195225,BENIGN
192.168.10.3-192.168.10.1-60061-53-17,192.168.10.3,60061,192.168.10.1,53,17,03/07/2017 09:00:42.080,119520,1,1,43,156,1664.993307,16.73360107,BENIGN
192.168.10.14-192.168.10.3-49414-445-6,192.168.10.14,49414,192.168.10.3,445,6,03/07/2017 09:00:48.009,116933759,206,190,42254,54958,831.3424697,3.386532712,BENIGN
192.168.10.5-192.168.10.3-49159-445-6,192.168.10.5,49159,192.168.10.3,445,6,03/07/2017 09:00:50.006,106176490,124,115,34190,46138,756.5516622,2.250969118,BENIGN
192.168.10.5-192.168.10.3-123-123-17,192.168.10.5,123,192.168.10.3,123,17,03/07/2017 09:00:53.005,66137889,6,6,288,288,8.709077485,0.181439114,BENIGN
192.168.10.5-134.170.115.55-49176-443-6,192.168.10.5,49176,134.170.115.55,443,6,03/07/2017 09:00:55.007,79593267,10,9,1602,5307,86.80382475,0.238713659,BENIGN
192.168.10.3-192.168.10.1-60678-53-17,192.168.10.3,60678,192.168.10.1,53,17,03/07/2017 09:00:55.083,46173,1,1,53,117,3681.805384,43.31535746,BENIGN
192.168.10.14-192.168.10.3-123-123-17,192.168.10.14,123,192.168.10.3,123,17,03/07/2017 09:00:57.010,81488902,8,8,384,384,9.424596247,0.196345755,BENIGN
192.168.10.51-224.0.0.251-5353-5353-17,192.168.10.51,5353,224.0.0.251,5353,17,03/07/2017 09:01:06.013,90275363,270,0,39398,0,436.4202889,2.990849231,BENIGN
